,participant_name,market,description,handicap
1388,Paul George,player_rebounds_over_under,Paul George - Alt Rebounds,3.5
1389,Paul George,player_rebounds_over_under,Paul George - Alt Rebounds,4.5
1390,Paul George,player_rebounds_over_under,Paul George - Alt Rebounds,5.5
1391,Paul George,player_rebounds_over_under,Paul George - Alt Rebounds,6.5
1392,Paul George,player_rebounds_over_under,Paul George - Rebounds,4.5
1393,Russell Westbrook,player_rebounds_over_under,Russell Westbrook - Alt Rebounds,1.5
1394,Russell Westbrook,player_rebounds_over_under,Russell Westbrook - Alt Rebounds,2.5
1395,Russell Westbrook,player_rebounds_over_under,Russell Westbrook - Alt Rebounds,3.5
1396,Russell Westbrook,player_rebounds_over_under,Russell Westbrook - Alt Rebounds,4.5
1397,Russell Westbrook,player_rebounds_over_under,Russell Westbrook - Alt Rebounds,5.5
1398,Russell Westbrook,player_rebounds_over_under,Russell Westbrook - Alt Rebounds,6.5
1399,Russell Westbrook,player_rebounds_over_under,Russell Westbrook - Rebounds,4.5
1400,Terance Mann,player_rebounds_over_under,Terance Mann - Rebounds,2.5
1401,Terry Rozier,player_rebounds_over_under,Terry Rozier - Alt Rebounds,0.5
1402,Terry Rozier,player_rebounds_over_under,Terry Rozier - Alt Rebounds,1.5
1403,Terry Rozier,player_rebounds_over_under,Terry Rozier - Alt Rebounds,2.5
1404,Terry Rozier,player_rebounds_over_under,Terry Rozier - Alt Rebounds,3.5
1405,Terry Rozier,player_rebounds_over_under,Terry Rozier - Alt Rebounds,4.5
1406,Terry Rozier,player_rebounds_over_under,Terry Rozier - Rebounds,3.5
1407,Tyler Herro,player_rebounds_over_under,Tyler Herro - Alt Rebounds,1.5
1408,Tyler Herro,player_rebounds_over_under,Tyler Herro - Alt Rebounds,2.5
1409,Tyler Herro,player_rebounds_over_under,Tyler Herro - Alt Rebounds,3.5
1410,Tyler Herro,player_rebounds_over_under,Tyler Herro - Alt Rebounds,4.5
1411,Tyler Herro,player_rebounds_over_under,Tyler Herro - Alt Rebounds,5.5
1412,Tyler Herro,player_rebounds_over_under,Tyler Herro - Alt Rebounds,6.5
1413,Tyler Herro,player_rebounds_over_under,Tyler Herro - Rebounds,4.5
1414,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,10.5
1415,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,11.5
1416,,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,12.5
1417,,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,13.5
1418,,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,14.5
1419,,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,15.5
1420,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,8.5
1421,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Alt Rebounds,9.5
1422,Bam Adebayo,player_rebounds_over_under,Bam Adebayo - Rebounds,10.5
1423,Caleb Martin,player_rebounds_over_under,Caleb Martin - Alt Rebounds,2.5
1424,Caleb Martin,player_rebounds_over_under,Caleb Martin - Alt Rebounds,3.5
1425,Caleb Martin,player_rebounds_over_under,Caleb Martin - Alt Rebounds,4.5
